Item_Identifier,Item_Weight,Item_Fat_Content,Item_Type,Item_MRP
FDZ03,13.65,Regular,Dairy,186.024
DRH37,17.6,Low Fat,Soft Drinks,164.8526
NCI17,8.645,Low Fat,Health and Hygiene,95.841
FDJ58,15.6,Regular,Snack Foods,170.1764
FDL12,15.85,Regular,Baking Goods,59.222
FDH35,18.25,Low Fat,Starchy Foods,164.7526
FDG02,7.855,Low Fat,Canned,189.6188
NCZ18,7.825,low fat,Household,254.3698
FDC29,8.39,Regular,Frozen Foods,114.0176
FDQ10,12.85,Low Fat,Snack Foods,172.3422
FDN48,12.85,Low Fat,Baking Goods,89.9804
FDL04,19,Low Fat,Frozen Foods,104.9622
FDV25,5.905,Low Fat,Canned,222.5456
FDD58,7.76,Low Fat,Snack Foods,101.87
FDN04,11.8,Regular,Frozen Foods,180.3344
FDV45,16.75,low fat,Snack Foods,187.9556
NCL18,16.75,Low Fat,Household,194.6136
FDR12,16.75,Regular,Baking Goods,171.3764
FDG20,15.5,Regular,Fruits and Vegetables,177.0028
FDZ55,6.055,Low Fat,Fruits and Vegetables,160.992
FDQ49,6.055,Regular,Breakfast,155.963
FDN33,6.305,Regular,Snack Foods,95.6436
FDN27,20.85,Low Fat,Meat,117.2808
FDW20,20.75,Low Fat,Fruits and Vegetables,122.173
DRG27,8.895,Low Fat,Dairy,39.9138
DRI25,19.6,Low Fat,Soft Drinks,55.1614
FDA44,19.7,Low Fat,Fruits and Vegetables,57.893
NCR17,9.8,Low Fat,Health and Hygiene,114.5492
FDU04,9.8,Low Fat,Frozen Foods,120.0414
FDF41,12.15,Low Fat,Frozen Foods,246.046
FDB56,8.75,Regular,Fruits and Vegetables,187.4556
NCP18,8.75,Low Fat,Household,149.9708
FDB56,8.75,Regular,Fruits and Vegetables,187.8556
FDT28,13.3,Low Fat,Frozen Foods,151.0708
FDD10,13.3,Regular,Snack Foods,178.5344
FDW57,8.31,Regular,Snack Foods,179.1028
DRB48,16.75,Regular,Soft Drinks,38.7822
FDP09,19.75,Low Fat,Snack Foods,212.0902
FDH14,17.1,Regular,Canned,141.1838
FDA47,10.5,Regular,Baking Goods,163.121
FDG12,6.635,Regular,Baking Goods,121.3098
DRE60,6.635,low fat,Soft Drinks,225.372
DRK49,14.15,Low Fat,Soft Drinks,41.4138
FDD03,13.3,Low Fat,Dairy,232.53
FDS52,8.89,low fat,Frozen Foods,102.4016
FDW39,8.89,Regular,Meat,176.937
FDX34,8.89,Low Fat,Snack Foods,121.7098
FDV11,9.1,Regular,Breads,173.2054
FDD17,7.5,Low Fat,Frozen Foods,239.0906
FDZ16,16.85,Regular,Frozen Foods,192.4478
FDZ46,7.485,Low Fat,Snack Foods,109.0228
DRA12,11.6,Low Fat,Soft Drinks,140.3154
FDY58,11.65,Low Fat,Snack Foods,227.0694
NCF19,13,Low Fat,Household,47.5034
DRJ13,12.65,Low Fat,Soft Drinks,159.0578
FDB14,20.25,Regular,Canned,92.512
FDJ38,8.6,Regular,Canned,190.153
FDW11,12.6,Low Fat,Breads,62.7194
FDL40,17.7,Low Fat,Frozen Foods,95.041
DRI49,14.15,Low Fat,Soft Drinks,82.4276
FDV38,19.25,Low Fat,Dairy,52.7956
DRG23,8.88,Low Fat,Hard Drinks,151.7682
NCP30,20.5,Low Fat,Household,40.2822
FDY25,20.5,Low Fat,Canned,180.5976
NCH54,13.5,Low Fat,Household,160.292
NCR53,13.5,Low Fat,Health and Hygiene,224.4404
FDS52,8.89,Low Fat,Frozen Foods,101.7016
FDG02,7.855,Low Fat,Canned,188.5188
NCO26,7.235,Low Fat,Household,116.0492
FDH35,7.235,Low Fat,Starchy Foods,165.4526
FDB51,6.92,Low Fat,Dairy,60.5852
FDX44,9.3,Low Fat,Fruits and Vegetables,90.8172
NCN07,18.5,Low Fat,Others,132.1284
NCC31,8.02,Low Fat,Household,154.5972
NCX54,9.195,Low Fat,Household,105.1622
NCO55,12.8,Low Fat,Others,105.5938
NCC30,16.6,Low Fat,Household,177.6344
FDI16,14,Regular,Frozen Foods,53.064
FDP16,18.6,Low Fat,Frozen Foods,246.3802
FDB11,16,Low Fat,Starchy Foods,226.8404
NCB06,17.6,Low Fat,Health and Hygiene,160.692
FDA45,21.25,Low Fat,Snack Foods,178.237
NCO26,7.235,Low Fat,Household,117.5492
DRJ25,14.6,Low Fat,Soft Drinks,50.3692
FDR28,13.85,Regular,Frozen Foods,161.521
FDI04,13.65,Regular,Frozen Foods,197.6426
DRK12,13.65,Low Fat,Soft Drinks,31.29
FDX20,7.365,Low Fat,Fruits and Vegetables,226.172
NCI18,18.35,Low Fat,Household,223.5746
FDB36,5.465,Regular,Baking Goods,132.5626
FDN13,18.6,Low Fat,Breakfast,99.8358
DRD24,13.85,Low Fat,Soft Drinks,140.9154
FDQ28,14,Regular,Frozen Foods,154.5656
FDM22,14,Regular,Snack Foods,54.764
FDR07,14,Low Fat,Fruits and Vegetables,97.0094
DRF49,7.27,Low Fat,Soft Drinks,114.2518
FDW51,6.155,Regular,Meat,214.556
DRL01,19.5,Regular,Soft Drinks,233.4958
FDP25,15.2,Low Fat,Canned,216.8824
FDL50,12.15,Regular,Canned,125.0046
NCB30,12.15,Low Fat,Household,198.8084
FDW11,12.6,Low Fat,Breads,61.9194
NCM43,14.5,Low Fat,Others,164.821
FDK44,16.6,Low Fat,Fruits and Vegetables,173.0738
FDM15,11.8,Regular,Meat,151.4366
FDS31,13.1,Regular,Fruits and Vegetables,178.8318
FDI32,17.7,Low Fat,Fruits and Vegetables,115.1834
FDR47,17.85,Low Fat,Breads,196.5794
FDB35,12.3,Regular,Starchy Foods,92.6804
NCU05,11.8,Low Fat,Health and Hygiene,81.4618
DRY23,11.8,Regular,Soft Drinks,42.1112
FDO24,11.1,Low Fat,Baking Goods,157.4604
FDQ28,11.1,Regular,Frozen Foods,153.0656
FDV39,11.3,Low Fat,Meat,198.1426
NCO17,11.3,Low Fat,Health and Hygiene,117.944
FDU50,5.75,Regular,Dairy,112.8176
FDT12,5.75,Regular,Baking Goods,226.8062
FDK58,11.35,Regular,Snack Foods,100.0016
FDO08,11.35,Regular,Fruits and Vegetables,165.7526
NCW29,14,Low Fat,Health and Hygiene,130.431
FDE04,19.75,Regular,Frozen Foods,179.766
NCB19,6.525,Low Fat,Household,85.0882
FDV15,10.3,Low Fat,Meat,103.9648
FDL58,5.78,Regular,Snack Foods,264.7568
FDA08,11.85,Regular,Fruits and Vegetables,164.1526
FDT43,16.35,Low Fat,Fruits and Vegetables,50.1324
NCX06,16.35,Low Fat,Household,182.5976
FDT20,10.5,Low Fat,Fruits and Vegetables,37.6164
FDB41,19,Regular,Frozen Foods,48.0718
NCN55,14.6,Low Fat,Others,238.8538
FDE40,14.6,Regular,Dairy,62.9194
FDX49,14.6,Regular,Canned,232.63
NCM53,18.75,Low Fat,Health and Hygiene,104.628
FDE36,5.26,Regular,Baking Goods,161.8868
FDN57,18.25,Low Fat,Snack Foods,140.2154
FDI24,18.25,Low Fat,Baking Goods,177.937
FDI19,15.1,Low Fat,Meat,242.7512
FDF24,15.5,Regular,Baking Goods,81.5934
FDG52,13.65,Low Fat,Frozen Foods,45.7402
DRF36,16.1,Low Fat,Soft Drinks,189.3846
FDS45,16.1,Regular,Snack Foods,107.3622
FDX40,12.85,Low Fat,Frozen Foods,39.7164
DRK12,9.5,Low Fat,Soft Drinks,32.99
DRC27,13.8,Low Fat,Dairy,245.1802
FDL58,5.78,Regular,Snack Foods,263.7568
NCD30,19.7,Low Fat,Household,96.0726
NCZ54,14.65,Low Fat,Household,161.5552
FDE10,6.67,Regular,Snack Foods,130.0626
FDR44,6.11,Regular,Fruits and Vegetables,131.2968
FDP28,13.65,Regular,Frozen Foods,260.0936
FDX15,17.2,Low Fat,Meat,160.6578
FDA39,6.32,Low Fat,Meat,40.2822
FDY24,4.88,Regular,Baking Goods,52.9298
FDC60,5.425,Regular,Baking Goods,88.3514
FDH28,15.85,Regular,Frozen Foods,37.2506
FDT25,7.5,Low Fat,Canned,121.7072
DRJ13,12.65,Low Fat,Soft Drinks,161.5578
NCO07,12.65,Low Fat,Others,211.956
FDW20,20.75,Low Fat,Fruits and Vegetables,124.173
DRF27,20.75,Low Fat,Dairy,152.134
FDS49,9,Low Fat,Canned,79.7644
FDX25,9,Low Fat,Canned,181.9292
NCX42,9,Low Fat,Household,165.6526
FDG33,9,Regular,Seafood,170.4764
FDL56,14.1,Low Fat,Fruits and Vegetables,86.4198
FDF14,7.55,Low Fat,Canned,152.334
NCD06,13,Low Fat,Household,45.406
DRM47,13,Low Fat,Hard Drinks,192.8846
FDS46,13,Regular,Snack Foods,118.7782
FDB35,12.3,Regular,Starchy Foods,92.9804
FDX21,12.3,Low Fat,Snack Foods,109.8912
NCU05,12.3,Low Fat,Health and Hygiene,79.9618
NCR38,17.25,Low Fat,Household,251.3724
NCR18,15.85,Low Fat,Household,42.7112
NCU41,18.85,Low Fat,Health and Hygiene,192.1846
FDY56,16.35,Regular,Fruits and Vegetables,227.6062
DRJ51,14.1,Low Fat,Dairy,229.0668
FDY25,12,Low Fat,Canned,179.3976
FDU44,12.15,Regular,Fruits and Vegetables,163.4552
FDL43,10.1,Low Fat,Meat,75.367
FDF05,17.5,Low Fat,Frozen Foods,262.491
DRF15,17.5,Low Fat,Dairy,152.034
FDL20,17.1,Low Fat,Fruits and Vegetables,112.3886
FDV32,7.785,Low Fat,Fruits and Vegetables,61.451
FDJ34,11.8,Regular,Snack Foods,125.9704
FDG08,13.15,Regular,Fruits and Vegetables,171.8764
FDQ04,13.15,Low Fat,Frozen Foods,41.5796
FDW13,8.5,Low Fat,Canned,51.1324
NCI17,8.645,Low Fat,Health and Hygiene,96.341
FDY03,17.6,Regular,Meat,110.9202
FDS12,9.1,Low Fat,Baking Goods,127.5362
FDJ55,12.8,Regular,Meat,225.9404
DRK01,7.63,Low Fat,Soft Drinks,95.4436
FDG28,9.285,Regular,Frozen Foods,246.4144
FDY38,13.6,Regular,Dairy,231.03
FDN01,8.895,Low Fat,Breakfast,176.237
NCR54,16.35,Low Fat,Household,195.211
FDG29,17.6,Low Fat,Frozen Foods,43.3454
FDG24,7.975,Low Fat,Baking Goods,85.225
FDG59,15.85,Low Fat,Starchy Foods,36.7164
FDM28,15.7,Low Fat,Frozen Foods,178.666
FDW04,8.985,Regular,Frozen Foods,128.831
FDS26,20.35,Low Fat,Dairy,260.1594
FDQ56,6.59,Low Fat,Fruits and Vegetables,85.6908
FDK51,19.85,Low Fat,Dairy,264.0884
FDL22,16.85,Low Fat,Snack Foods,91.4488
FDH19,16.85,Low Fat,Meat,173.1738
FDY55,16.75,Low Fat,Fruits and Vegetables,256.4988
FDY03,17.6,Regular,Meat,110.5202
FDK21,7.905,Low Fat,Snack Foods,250.4408
FDZ10,7.905,Low Fat,Snack Foods,126.202
FDZ32,7.785,Regular,Fruits and Vegetables,103.1964
NCZ18,7.825,Low Fat,Household,253.0698
NCF07,7.825,Low Fat,Household,101.0016
DRE49,20.75,Low Fat,Soft Drinks,153.0024
FDJ08,20.75,Low Fat,Fruits and Vegetables,190.3846
FDT39,6.26,Regular,Meat,151.1366
FDE08,18.2,Low Fat,Fruits and Vegetables,147.3734
NCD06,13,Low Fat,Household,46.306
FDB57,20.25,Regular,Fruits and Vegetables,222.1772
NCT54,8.695,Low Fat,Household,95.5094
DRF49,7.27,Low Fat,Soft Drinks,113.5518
FDM25,7.27,Regular,Breakfast,174.0712
FDF20,12.85,low fat,Fruits and Vegetables,198.4768
FDH27,7.075,Low Fat,Dairy,142.7128
FDV60,7.075,Regular,Baking Goods,196.211
FDY59,8.195,Low Fat,Baking Goods,94.3462
FDK36,7.09,Low Fat,Baking Goods,47.9034
NCM31,6.095,Low Fat,Others,141.4154
FDE33,19.35,Regular,Fruits and Vegetables,80.2644
FDU36,6.15,Low Fat,Baking Goods,99.3384
FDV13,6.15,Regular,Canned,87.9856
FDV20,6.15,Regular,Fruits and Vegetables,125.2678
NCQ54,17.7,Low Fat,Household,167.0474
FDO23,17.85,Low Fat,Breads,93.7436
DRE60,9.395,Low Fat,Soft Drinks,224.972
DRP47,15.75,Low Fat,Hard Drinks,250.5382
FDB21,7.475,Low Fat,Fruits and Vegetables,241.2854
FDR04,7.075,Low Fat,Frozen Foods,98.0068
FDX23,6.445,Low Fat,Baking Goods,92.6436
FDX19,19.1,Low Fat,Fruits and Vegetables,235.0958
FDD40,20.25,Regular,Dairy,193.6162
FDA01,15,Regular,Canned,59.1904
FDS33,6.67,Regular,Snack Foods,89.1514
FDM50,6.67,Regular,Canned,60.222
FDB29,16.7,Regular,Frozen Foods,112.7176
FDF46,7.07,Low Fat,Snack Foods,115.5834
FDA33,6.48,Low Fat,Snack Foods,148.0076
FDC08,19,Regular,Fruits and Vegetables,228.272
FDB53,13.35,Low Fat,Frozen Foods,147.5392
FDY31,13.35,Low Fat,Fruits and Vegetables,146.6418
DRQ35,13.35,Low Fat,Hard Drinks,122.4388
FDX36,9.695,Regular,Baking Goods,223.9404
DRD13,15,Low Fat,Soft Drinks,62.6168
FDC52,11.15,Regular,Dairy,149.9708
FDB45,20.85,Low Fat,Fruits and Vegetables,103.2306
NCK19,9.8,Low Fat,Others,194.3478
FDV51,16.35,Low Fat,Meat,165.0842
FDZ35,9.6,Regular,Breads,101.299
NCW17,9.6,Low Fat,Health and Hygiene,129.9994
FDV59,13.35,Low Fat,Breads,216.7166
DRH39,20.7,Low Fat,Dairy,76.367
FDN60,20.7,Low Fat,Baking Goods,158.4604
FDU55,16.2,Low Fat,Fruits and Vegetables,260.6278
FDN58,16.2,Regular,Snack Foods,230.9984
FDC41,16.2,Low Fat,Frozen Foods,76.867
FDO01,16.2,Regular,Breakfast,129.3994
NCO43,5.5,Low Fat,Others,101.3016
FDQ07,15.1,Regular,Fruits and Vegetables,221.7456
FDF28,15.7,Regular,Frozen Foods,122.9046
FDM01,7.895,Regular,Breakfast,104.4332
FDY49,7.895,Regular,Canned,164.5184
FDR24,17.35,Regular,Baking Goods,88.183
NCY18,7.285,Low Fat,Household,174.3054
NCY30,20.25,Low Fat,Household,180.9976
FDJ22,20.25,Low Fat,Snack Foods,190.9504
DRI37,15.85,Low Fat,Soft Drinks,59.5904
FDL27,6.17,Low Fat,Meat,66.3826
NCO30,19.5,Low Fat,Household,182.2608
NCB07,19.2,Low Fat,Household,197.611
FDX25,16.7,Low Fat,Canned,181.2292
FDP59,20.85,Regular,Breads,104.0648
FDR59,14.5,Regular,Breads,260.4594
FDT27,11.395,Regular,Meat,233.1616
DRI01,7.97,Low Fat,Soft Drinks,174.0422
FDU09,7.71,Regular,Snack Foods,55.2956
FDH26,19.25,Regular,Canned,141.7496
FDH27,7.075,Low Fat,Dairy,142.2128
FDN39,7.075,Regular,Meat,166.0816
FDH40,11.6,Regular,Frozen Foods,79.9276
FDJ56,11.6,Low Fat,Fruits and Vegetables,98.77
DRN47,12.1,Low Fat,Hard Drinks,178.566
NCO17,10,Low Fat,Health and Hygiene,118.244
FDX60,14.35,Low Fat,Baking Goods,81.896
FDT22,10.395,Low Fat,Snack Foods,58.222
FDX26,10.395,Low Fat,Dairy,182.6292
FDG45,8.1,Low Fat,Fruits and Vegetables,211.4902
FDD44,8.05,Regular,Fruits and Vegetables,256.4646
FDS15,9.195,Regular,Meat,108.7596
FDL51,20.7,Regular,Dairy,212.5876
FDL32,15.7,Regular,Fruits and Vegetables,110.1544
FDZ07,15.7,Regular,Fruits and Vegetables,60.2194
NCW53,15.7,Low Fat,Health and Hygiene,193.8162
NCA54,16.5,Low Fat,Household,180.0318
FDX09,9,Low Fat,Snack Foods,176.437
FDO51,6.785,Regular,Meat,41.2112
FDW49,19.5,Low Fat,Canned,178.6002
FDB27,7.575,Low Fat,Dairy,195.2768
FDF45,18.2,Regular,Fruits and Vegetables,57.7904
FDV02,16.75,Low Fat,Dairy,169.8106
FDY28,7.47,Regular,Frozen Foods,214.3218
FDX31,7.47,Regular,Fruits and Vegetables,231.7958
FDR43,7.47,Low Fat,Fruits and Vegetables,38.019
FDP51,13.85,Regular,Meat,119.4124
FDL52,6.635,Regular,Frozen Foods,37.4506
FDR44,6.11,Regular,Fruits and Vegetables,130.4968
FDB34,15.25,Low Fat,Snack Foods,86.2198
FDC50,15.85,Low Fat,Canned,96.4094
FDT57,15.2,Low Fat,Snack Foods,235.1248
FDP22,15.2,Regular,Snack Foods,52.6666
DRE49,20.75,Low Fat,Soft Drinks,150.5024
FDM40,10.195,Low Fat,Frozen Foods,143.2154
FDY32,7.605,Low Fat,Fruits and Vegetables,164.021
FDW07,18,Regular,Fruits and Vegetables,88.5514
FDU02,18,Low Fat,Dairy,228.9352
NCF18,18.35,Low Fat,Household,191.3504
FDQ56,6.59,Low Fat,Fruits and Vegetables,84.8908
FDN58,13.8,Regular,Snack Foods,230.0984
FDG35,21.2,Regular,Starchy Foods,173.5738
FDY34,10.5,Regular,Snack Foods,166.4842
NCE19,8.97,Low Fat,Household,52.7956
NCK31,8.97,Low Fat,Others,50.9666
NCJ29,10.6,Low Fat,Health and Hygiene,86.1224
FDT59,13.65,Low Fat,Breads,231.1668
NCX41,19,Low Fat,Health and Hygiene,211.0244
FDU45,19,Regular,Snack Foods,115.3518
FDW24,19,Low Fat,Baking Goods,48.9034
FDF22,6.865,Low Fat,Snack Foods,212.8218
FDM60,10.8,Regular,Baking Goods,40.2138
FDR02,16.7,Low Fat,Dairy,110.2886
DRP35,16.7,Low Fat,Hard Drinks,126.2336
FDS48,15.15,Low Fat,Baking Goods,150.1708
NCZ42,10.5,Low Fat,Household,238.3248
FDZ38,17.6,Low Fat,Dairy,174.2422
FDH19,19.35,Low Fat,Meat,175.4738
NCB55,15.7,Low Fat,Household,59.4562
FDC15,18.1,Low Fat,Dairy,155.5288
FDF11,10.195,Regular,Starchy Foods,239.6538
FDW35,10.195,low fat,Breads,41.6454
FDB44,6.655,Low Fat,Fruits and Vegetables,211.0586
NCC06,19,Low Fat,Household,127.3336
FDB17,13.15,Low Fat,Frozen Foods,181.2976
FDW43,20.1,Regular,Fruits and Vegetables,226.8036
FDA27,20.35,Regular,Dairy,256.7672
NCU41,18.85,Low Fat,Health and Hygiene,190.1846
FDY56,16.35,Regular,Fruits and Vegetables,227.1062
FDV39,11.3,Low Fat,Meat,196.2426
FDN32,17.5,Low Fat,Fruits and Vegetables,182.6266
FDW07,18,Regular,Fruits and Vegetables,87.4514
FDZ27,7.935,Low Fat,Dairy,51.535
FDW23,7.935,Low Fat,Baking Goods,37.3164
FDU01,20.25,Regular,Canned,184.5924
FDF10,15.5,Regular,Snack Foods,149.1418
DRH03,15.5,Low Fat,Dairy,91.812
FDW27,15.5,Regular,Meat,155.7314
DRI13,15.35,Low Fat,Soft Drinks,218.0508
NCR05,10.1,Low Fat,Health and Hygiene,200.2084
FDB29,16.7,Regular,Frozen Foods,115.4176
FDL51,20.7,Regular,Dairy,213.4876
FDB11,16,Low Fat,Starchy Foods,223.8404
FDI35,14,Low Fat,Starchy Foods,180.7634
FDX08,12.85,Low Fat,Fruits and Vegetables,181.4318
FDP59,20.85,Regular,Breads,105.6648
NCJ18,12.35,Low Fat,Household,120.5124
FDJ41,6.85,Low Fat,Frozen Foods,261.6594
FDU08,10.3,Low Fat,Fruits and Vegetables,101.0042
FDS09,10.3,Regular,Snack Foods,49.6008
DRH15,8.775,Low Fat,Dairy,45.9428
NCV17,18.85,Low Fat,Health and Hygiene,129.2626
NCO54,18.85,Low Fat,Household,56.7614
FDE24,14.85,Low Fat,Baking Goods,141.0812
FDH53,20.5,Regular,Frozen Foods,84.3592
FDZ13,7.84,Regular,Canned,51.935
FDW28,18.25,Low Fat,Frozen Foods,196.7452
FDU46,10.3,Regular,Snack Foods,85.854
NCE43,12.5,Low Fat,Household,169.9448
FDS26,12.5,Low Fat,Dairy,260.5594
FDB14,20.25,Regular,Canned,93.212
DRB48,20.25,Regular,Soft Drinks,40.2822
NCC42,15,Low Fat,Health and Hygiene,140.3838
FDQ20,8.325,Low Fat,Fruits and Vegetables,38.7138
FDA13,15.85,Low Fat,Canned,38.6506
FDZ15,13.1,Low Fat,Dairy,117.3782
NCV42,6.26,Low Fat,Household,111.3228
DRI51,17.25,Low Fat,Dairy,173.1764
FDO28,5.765,Low Fat,Frozen Foods,119.9098
NCS54,13.6,Low Fat,Household,175.437
FDH16,10.5,Low Fat,Frozen Foods,88.783
FDG24,7.975,Low Fat,Baking Goods,85.125
FDR52,12.65,Regular,Frozen Foods,192.1846
NCH06,12.3,Low Fat,Household,247.846
FDA36,5.985,Low Fat,Baking Goods,184.8924
FDU56,5.985,Low Fat,Fruits and Vegetables,184.7266
FDT09,15.15,Regular,Snack Foods,132.5284
FDU25,12.35,Low Fat,Canned,56.4246
FDK41,14.3,Low Fat,Frozen Foods,84.9224
NCT54,8.695,Low Fat,Household,93.4094
FDV51,16.35,Low Fat,Meat,163.8842
FDM24,6.135,Regular,Baking Goods,151.3366
NCO30,19.5,Low Fat,Household,185.0608
FDQ45,9.5,Regular,Snack Foods,182.3608
DRK59,8.895,Low Fat,Hard Drinks,235.8616
FDW28,18.25,Low Fat,Frozen Foods,196.8452
FDC02,21.35,Low Fat,Canned,258.3278
FDR21,19.7,Low Fat,Snack Foods,174.837
FDN48,19.7,Low Fat,Baking Goods,90.0804
FDT44,16.6,Low Fat,Fruits and Vegetables,117.8466
FDX14,16.6,Low Fat,Dairy,74.0354
FDH57,10.895,Low Fat,Fruits and Vegetables,133.6284
FDH28,10.895,Regular,Frozen Foods,37.4506
NCT41,10.895,Low Fat,Health and Hygiene,151.3024
FDO11,10.895,Regular,Breads,248.8092
NCP42,8.51,Low Fat,Household,195.2478
FDN09,14.15,Low Fat,Snack Foods,243.9828
FDP32,6.65,Low Fat,Fruits and Vegetables,128.8678
FDV57,15.25,Regular,Snack Foods,177.966
FDW28,18.25,low fat,Frozen Foods,196.5452
FDR56,18.25,Regular,Fruits and Vegetables,196.8768
FDA40,16,Regular,Frozen Foods,87.4856
NCG42,19.2,Low Fat,Household,127.831
NCK54,12.15,Low Fat,Household,117.815
FDE16,8.895,Low Fat,Frozen Foods,208.9954
FDB15,10.895,Low Fat,Dairy,263.4568
FDC40,16,Regular,Dairy,76.1986
FDE53,16,Low Fat,Frozen Foods,106.928
FDK24,9.195,Low Fat,Baking Goods,43.6744
FDW31,11.35,Regular,Fruits and Vegetables,201.0742
NCX29,10,Low Fat,Health and Hygiene,144.0102
NCM07,9.395,Low Fat,Others,82.4908
DRN36,9.395,Low Fat,Soft Drinks,95.9752
FDQ37,20.75,Low Fat,Breakfast,192.8478
FDK43,9.8,Low Fat,Meat,128.402
FDK28,5.695,Low Fat,Frozen Foods,258.5646
FDR43,18.2,Low Fat,Fruits and Vegetables,37.819
FDL48,19.35,Regular,Baking Goods,49.2034
DRL23,18.35,Low Fat,Hard Drinks,106.6938
NCX42,6.36,Low Fat,Household,163.6526
DRD37,9.8,Low Fat,Soft Drinks,46.506
FDZ47,9.8,Regular,Baking Goods,99.9042
NCJ54,9.8,Low Fat,Household,231.7642
FDL52,6.635,Regular,Frozen Foods,39.7506
FDC15,18.1,Low Fat,Dairy,156.7288
NCD19,8.93,Low Fat,Household,56.0614
FDD08,8.3,Low Fat,Fruits and Vegetables,38.9506
NCN18,8.895,Low Fat,Household,112.7544
FDY56,16.35,Regular,Fruits and Vegetables,225.9062
NCI29,8.6,Low Fat,Health and Hygiene,140.5154
NCE06,8.6,Low Fat,Household,160.2894
FDC08,19,Regular,Fruits and Vegetables,227.772
FDU52,7.56,Low Fat,Frozen Foods,157.263
FDN16,12.6,Regular,Frozen Foods,104.899
NCM55,15.6,Low Fat,Others,184.7924
FDR49,8.71,Low Fat,Canned,49.5376
FDC15,18.1,Low Fat,Dairy,158.1288
FDB53,13.35,Low Fat,Frozen Foods,150.2392
FDK44,16.6,Low Fat,Fruits and Vegetables,173.3738
FDA16,6.695,Low Fat,Frozen Foods,221.9456
FDO19,6.695,Regular,Fruits and Vegetables,47.4034
FDO04,16.6,Low Fat,Frozen Foods,57.2614
NCL19,15.35,Low Fat,Others,145.047
FDA44,19.7,Low Fat,Fruits and Vegetables,54.593
FDR60,14.3,Low Fat,Baking Goods,78.6328
FDV37,14.3,Regular,Canned,195.8426
